collection_site,activity,time
22,Opening trunk,9
22,Collecting & Loading of small trash,22
22,Slit-Container: Emptying,40
22,Slit-Container: Sack Replacement,14
22,Recycling,0
22,Cleaning ground,0
22,Cleaing oil station,0
22,Mobbing ground with broom,0
22,Closing  trunk,7
23,Parking,9
23,Opening trunk,13
23,Collecting & Loading of small trash,68
23,Slit-Container: Emptying,59
23,Slit-Container: Sack Replacement,22
23,Recycling,0
23,Cleaning ground,0
23,Cleaing oil station,0
23,Mobbing ground with broom,0
23,Closing  trunk,4
24,Parking,16
24,Opening trunk,11
24,Collecting & Loading of small trash,77
24,Slit-Container: Emptying,67
24,Slit-Container: Sack Replacement,23
24,Recycling,15
24,Cleaning ground,0
24,Cleaing oil station,0
24,Mobbing ground with broom,0
24,Closing  trunk,4
25,Parking,18
25,Opening trunk,10
25,Collecting & Loading of small trash,174
25,Slit-Container: Emptying,64
25,Slit-Container: Sack Replacement,70
25,Recycling,0
25,Cleaning ground,0
25,Cleaing oil station,0
25,Mobbing ground with broom,0
25,Closing  trunk,6
26,Parking,28
26,Opening trunk,15
26,Collecting & Loading of small trash,175
26,Slit-Container: Emptying,64
26,Slit-Container: Sack Replacement,30
26,Recycling,15
26,Cleaning ground,0
26,Cleaing oil station,0
26,Mobbing ground with broom,0
26,Closing  trunk,4
27,Parking,43
27,Opening trunk,16
27,Collecting & Loading of small trash,230
27,Slit-Container: Emptying,105
27,Slit-Container: Sack Replacement,36
27,Recycling,6
27,Cleaning ground,40
27,Cleaing oil station,0
27,Mobbing ground with broom,90
27,Closing  trunk,5
28,Parking,15
28,Opening trunk,9
28,Collecting & Loading of small trash,72
28,Slit-Container: Emptying,45
28,Slit-Container: Sack Replacement,16
28,Recycling,0
28,Cleaning ground,35
28,Cleaing oil station,0
28,Mobbing ground with broom,0
28,Closing  trunk,7
29,Parking,10
29,Opening trunk,10
29,Collecting & Loading of small trash,122
29,Slit-Container: Emptying,36
29,Slit-Container: Sack Replacement,26
29,Recycling,0
29,Cleaning ground,0
29,Cleaing oil station,0
29,Mobbing ground with broom,0
29,Closing  trunk,3
30,Parking,14
30,Opening trunk,9
30,Collecting & Loading of small trash,143
30,Slit-Container: Emptying,20
30,Slit-Container: Sack Replacement,16
30,Recycling,0
30,Cleaning ground,20
30,Cleaing oil station,0
30,Mobbing ground with broom,0
30,Closing  trunk,4
31,Parking,19
31,Opening trunk,16
31,Collecting & Loading of small trash,274
31,Slit-Container: Emptying,10
31,Slit-Container: Sack Replacement,15
31,Recycling,0
31,Cleaning ground,0
31,Cleaing oil station,0
